id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Eric;Daugherty;Frederick_OConnell72@hotmail.com;local area network Benin;2020-01-13T15:22:15;36771;63633
2;Dimitri;Friesen;Lamar.Wiza48@gmail.com;Investor users dot-com;2020-01-13T12:06:00;57690;66892
3;Jeramie;Stracke;Daren.Reichert@gmail.com;Shoes deposit;2020-01-13T23:19:54;99455;94045
4;Janet;Wilkinson;Tavares_Tillman@gmail.com;Factors;2020-01-13T19:38:40;42818;55276
5;Vita;Marquardt;Wilhelmine29@hotmail.com;reinvent;2020-01-13T07:09:19;26847;31692
6;Jazmyne;Dach;Kaylie_Huels69@yahoo.com;Arkansas Intelligent Credit Card Account;2020-01-13T03:49:17;35864;14008
7;Deonte;Larson;Serenity_Hammes69@gmail.com;Sudanese Pound;2020-01-13T18:57:17;55281;29359
8;Elenora;Schowalter;Ramiro_Gaylord91@yahoo.com;Avon;2020-01-13T15:32:46;62789;79829
9;Clemmie;O'Conner;Maybelle.Hyatt89@gmail.com;value-added incubate Practical;2020-01-13T13:42:14;67202;3594
10;Erling;Kohler;Karen83@gmail.com;TCP Assimilated;2020-01-14T02:39:01;82260;30326
